,,What two lists did the author create to guide their search?,The author created a list of synonyms to group words with closely related meanings and a list of items to remove that included all words or word combinations that were not related to the determinants and were removed,,,
,,What is the average age of the documents in the document set?,The average age of documents is 46 years,,,
,,What percentage of documents are articles?,780% of the documents are articles,,,
,,What caused the marked change in growth during the period?,The slow development of energy efficiency policies caused the marked change in growth during the period,,,
,,What sources have been compiled to identify important research trends?,"Websites, journals, conference proceedings, books and book chapters, scientific reports, and theses have been compiled to identify important research trends",,,
,,What is the most influential source based on the number of citations?,"Energy and Buildings with 5,746 citations is the most influential source",,,
,,What is the average number of citations per document in Renewable & Sustainable Energy Reviews?,The average number of citations per document in Renewable & Sustainable Energy Reviews is 65,,,
,,What are the dominant topic areas of the published documents?,"The dominant topics areas of the published documents are Energy & Fuels 576 documents, Engineering 538, Construction & Building Technology 454, Science & Technology - Other Topics 280, and Environmental Sciences & Ecology 277",,,
,,What type of approach is necessary to further study the determinants of EERs?,A transdisciplinary approach is necessary to further study the determinants of EERs,,,
,,What is meant by betweenness and closeness?,Betweenness and closeness are measures of centrality used to identify the most important nodes in a network or graph,,,
,,What is the network shown in Fig 2?,The network shown in Fig 2 contains four clusters of 83 words that are linked to the determinants of EER The node sizes correspond to their importance in the literature,,,
,,What are the commonly identified determinants related to technical and building characteristics?,"The commonly identified determinants related to technical and building characteristics include expected improvement in thermal comfort, better expected living conditions such as indoor comfort and air and indoor environmental quality",,,
,,What are some of the behavioural determinants associated with the thermal comfort cluster?,"Behavioural determinants associated with the thermal comfort cluster include occupants' behaviour habits, energy savings and perceptions of energy security Occupant behaviour can refer to problems such as disruption of daily life, stress and inconvenience and inertia",,,
,,What information measures are usually mentioned?,Service companies that provide energy audits and consultations,,,
